                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4602,                 1.9782,                 1.4709,                  0.808,                0.19133,                0.32718,                0.18567,                 1.6488,                   2.67,                 1.4389,                0.00052,                0.00052,                0.00052
                      2,                 1.3183,                 1.2476,                 1.3379,                0.38674,                0.23304,                0.27201,                0.13462,                 1.8221,                 2.4424,                 1.7364,              0.0010367,              0.0010367,              0.0010367
                      3,                 1.3668,                 1.1909,                 1.3586,                0.44532,                0.49052,                0.41701,                0.19476,                 1.9371,                  1.873,                 1.9178,              0.0015296,              0.0015296,              0.0015296
                      4,                 1.3875,                 1.1715,                 1.3744,                0.50899,                0.31633,                0.30151,                0.13073,                 2.2679,                 3.6946,                 2.2036,               0.001868,               0.001868,               0.001868
                      5,                 1.3447,                 1.0895,                 1.3742,                0.49969,                 0.4621,                0.47257,                0.24048,                 1.8162,                 1.9829,                 1.6727,               0.001824,               0.001824,               0.001824
                      6,                 1.3313,                 1.0248,                 1.3592,                0.57878,                0.50125,                0.50803,                0.25843,                 1.8191,                 1.7244,                 1.5804,                0.00178,                0.00178,                0.00178
                      7,                   1.32,                 1.0039,                 1.3266,                0.61015,                  0.625,                0.60597,                0.30427,                 1.6541,                 2.1363,                 1.4918,               0.001736,               0.001736,               0.001736
                      8,                 1.2962,                0.95337,                  1.311,                0.63421,                0.61416,                0.65173,                0.34305,                 1.7223,                 1.3695,                  1.522,               0.001692,               0.001692,               0.001692
                      9,                 1.2854,                0.94533,                 1.3172,                0.68566,                0.59777,                0.65591,                0.34803,                 1.6774,                 1.4184,                 1.4643,               0.001648,               0.001648,               0.001648
                     10,                 1.2974,                 0.9467,                 1.3222,                0.64657,                0.67238,                0.68817,                0.38539,                 1.5927,                  1.194,                 1.4173,               0.001604,               0.001604,               0.001604
                     11,                 1.2403,                0.90452,                 1.2955,                0.67099,                0.64735,                0.66065,                0.33192,                 1.6392,                 1.4291,                   1.44,                0.00156,                0.00156,                0.00156
                     12,                 1.2571,                0.88851,                  1.298,                0.67312,                0.59949,                0.63426,                 0.3724,                 1.5542,                  1.286,                 1.3988,               0.001516,               0.001516,               0.001516
